lat,lon,date
38.7135442,-9.13725,05/16/2014 09:13
38.7147339,-9.1407012,05/16/2014 09:28
38.7147241,-9.1408753,05/16/2014 10:13
38.7309823,-9.1690712,05/16/2014 10:28
38.7616021,-9.2450257,05/16/2014 10:43
38.7975582,-9.3409997,05/16/2014 10:58
38.799727,-9.3852125,05/16/2014 11:13
38.7969485,-9.3907658,05/16/2014 11:28
38.7893195,-9.3923114,05/16/2014 12:43
38.787489,-9.3905445,05/16/2014 13:28
38.8011712,-9.4251031,05/16/2014 13:43
38.7874886,-9.3905446,05/16/2014 14:43
38.793071,-9.2858255,05/16/2014 15:13
38.8014593,-9.3717872,05/16/2014 15:43
38.8054581,-9.3619194,05/16/2014 15:58
38.8166107,-9.4084998,05/16/2014 16:13
38.7882049,-9.3880175,05/16/2014 16:28
38.7995682,-9.3854593,05/16/2014 16:43
38.797314,-9.3879207,05/16/2014 16:58
38.7686867,-9.2999259,05/16/2014 17:13
38.7472838,-9.2138388,05/16/2014 17:28
38.7147515,-9.1406741,05/16/2014 17:43
38.7139452,-9.1393509,05/16/2014 17:58
38.7119087,-9.1373871,05/16/2014 18:13
38.7118918,-9.1373346,05/16/2014 18:55
38.7118537,-9.1372891,05/16/2014 19:09
38.7119,-9.1373436,05/16/2014 19:24
38.7118534,-9.137313,05/16/2014 19:54
38.7120262,-9.1391325,05/16/2014 20:09
38.7119202,-9.1390682,05/16/2014 20:24
38.7134531,-9.140998,05/16/2014 20:39
38.7135781,-9.1416879,05/16/2014 21:09
38.7135533,-9.1417099,05/16/2014 22:09
38.7106644,-9.1426067,05/16/2014 22:39
38.7109381,-9.1398407,05/16/2014 23:09
38.7110242,-9.1373975,05/16/2014 23:24
38.7118297,-9.1372975,05/16/2014 23:39
38.7118239,-9.1373075,05/17/2014 00:09
38.7118327,-9.1373168,05/17/2014 00:39
38.7118219,-9.137277,05/17/2014 01:09
38.7118229,-9.137273,05/17/2014 01:39
38.711828,-9.1372794,05/17/2014 01:54
