lat,lon,date,city,country,closest_centroid
42.661063500000004,18.085368799999998,06/26/2014 18:42,Dubrovnik,Croatia,29
42.4234482,18.7716196,06/27/2014 20:01,Kotor,Montenegro,39
42.4233194,18.771615899999997,06/27/2014 20:16,Kotor,Montenegro,11
42.4237727,18.771453,06/27/2014 20:40,Kotor,Montenegro,21
42.4233922,18.7715764,06/27/2014 22:24,Kotor,Montenegro,30
42.4244097,18.771216,06/28/2014 15:24,Kotor,Montenegro,85
42.2082015,20.736022,06/29/2014 13:09,Prizren,Kosovo,20
42.208425399999996,20.7395629,06/29/2014 15:39,Prizren,Kosovo,79
42.209131,20.7407639,06/29/2014 17:08,Prizren,Kosovo,60
41.1143363,20.7987999,07/01/2014 14:57,Ohrid,Macedonia (FYROM),98
41.111061799999995,20.790237899999997,07/02/2014 11:56,Ohrid,Macedonia (FYROM),83
41.1167919,20.7987553,07/02/2014 17:42,Ohrid,Macedonia (FYROM),36
40.7021955,19.9464309,07/03/2014 14:41,Berat,Albania,62
40.1878266,20.0793039,07/04/2014 17:39,Gjirokastër,Albania,56
39.040021200000005,21.120076899999997,07/04/2014 23:58,Dytiki Ellada,Greece,76
38.1490189,22.351421300000002,07/05/2014 03:06,Dytiki Ellada,Greece,43
37.96766891,23.72920298,07/05/2014 05:32,Athens,Greece,53
37.933989399999994,23.9458449,07/06/2014 17:12,Attica,Greece,95
40.9823519,28.815756099999998,07/06/2014 20:42,Istanbul,Turkey,86
41.0016292,28.949190500000004,07/06/2014 21:58,Istanbul,Turkey,24
41.040212200000006,28.9886386,07/06/2014 22:12,Istanbul,Turkey,14
41.0434912,28.9853641,07/06/2014 22:27,Istanbul,Turkey,99
41.0445078,28.983312899999994,07/07/2014 08:50,Istanbul,Turkey,16
41.021378000000006,29.006663899999996,07/07/2014 17:58,Istanbul,Turkey,7
41.0424766,28.986451000000002,07/07/2014 18:57,Istanbul,Turkey,26
41.0355254,28.9846805,07/08/2014 15:45,Istanbul,Turkey,80
48.3564169,11.7921547,07/09/2014 13:11,Munich,Germany,45
